no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_1
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_3
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_7
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_8
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_9
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_10
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_11
no_crockford, NA_ice_decline, NA_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_12
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_14
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_15
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, yes_bear_adapt, yes_bear_ok, contra, blog, blog_17
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_18
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_19
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_20
no_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_21
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_22
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_23
yes_crockford, no_ice_decline, yes_ice_stable, yes_ice_natural, no_bear_threatened, NA_bear_adapt, yes_bear_ok, contra, blog, blog_24
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_25
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, no_bear_adapt, no_bear_ok, pro, blog, blog_27
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_29
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, yes_bear_adapt, no_bear_ok, pro, blog, blog_30
no_crockford, yes_ice_decline, no_ice_stable, no_ice_natural, yes_bear_threatened, NA_bear_adapt, no_bear_ok, pro, blog, blog_31
